vid,bid,date,billState,subject,state
CA_20150AB100093CHP,CA_201520160AB1000,2015-10-08,Chaptered,"California State University: student success fees.",CA
CA_20150AB100094ENR,CA_201520160AB1000,2015-09-03,Enrolled,"California State University: student success fees.",CA
CA_20150AB100095AMD,CA_201520160AB1000,2015-08-24,"Amended Senate","California State University: student success fees.",CA
CA_20150AB100096AMD,CA_201520160AB1000,2015-05-28,"Amended Assembly","California State University: student success fees.",CA
CA_20150AB100097AMD,CA_201520160AB1000,2015-05-06,"Amended Assembly","California State University: student success fees.",CA
CA_20150AB100098AMD,CA_201520160AB1000,2015-04-28,"Amended Assembly","California State University: student success fees.",CA
CA_20150AB100099INT,CA_201520160AB1000,2015-02-26,Introduced,"California State University: student success fees.",CA
CA_20150AB100192CHP,CA_201520160AB1001,2016-09-30,Chaptered,"Child abuse: reporting: foster family agencies.",CA
CA_20150AB100193ENR,CA_201520160AB1001,2016-08-29,Enrolled,"Child abuse: reporting: foster family agencies.",CA
CA_20150AB100194AMD,CA_201520160AB1001,2016-08-18,"Amended Senate","Child abuse: reporting: foster family agencies.",CA
CA_20150AB100195AMD,CA_201520160AB1001,2016-08-02,"Amended Senate","Child abuse: reporting: foster family agencies.",CA
CA_20150AB100196AMD,CA_201520160AB1001,2016-05-11,"Amended Senate","Child abuse: reporting: foster family agencies.",CA
CA_20150AB100197AMD,CA_201520160AB1001,2016-01-14,"Amended Assembly","Child abuse: reporting: foster family agencies.",CA
CA_20150AB100198AMD,CA_201520160AB1001,2016-01-04,"Amended Assembly","Child abuse: reporting: foster family agencies.",CA
CA_20150AB100199INT,CA_201520160AB1001,2015-02-26,Introduced,"Child abuse: reporting.",CA
CA_20150AB100295CHP,CA_201520160AB1002,2015-07-14,Chaptered,"Civil actions: interpreter costs.",CA
CA_20150AB100296ENR,CA_201520160AB1002,2015-06-29,Enrolled,"Civil actions: interpreter costs.",CA
CA_20150AB100297AMD,CA_201520160AB1002,2015-05-07,"Amended Assembly","Civil actions: interpreter costs.",CA
CA_20150AB100298AMD,CA_201520160AB1002,2015-04-28,"Amended Assembly","Civil actions: interpreter costs.",CA
CA_20150AB100299INT,CA_201520160AB1002,2015-02-26,Introduced,"Civil actions: interpreter costs.",CA
