cid,hid
1,100
1,122
1,210
1,446
1,1364
2,131
2,648
2,707
3,98
3,132
3,186
3,211
3,233
3,249
3,273
3,276
3,285
3,392
3,430
3,494
3,517
3,523
3,716
3,842
3,927
3,960
3,985
3,1014
3,1058
3,1099
3,1134
3,1161
3,1227
3,1234
3,1323
3,1369
3,1401
3,1502
3,1530
3,1541
3,1784
3,1792
540,10161
4,114
4,663
4,1082
4,1767
5,94
5,144
5,336
5,685
5,833
5,834
5,880
5,1020
5,1037
5,1267
5,1354
6,21
6,280
6,521
6,710
6,815
6,1232
6,1402
6,1528
6,1799
7,156
7,182
7,268
7,370
7,389
7,421
7,461
7,520
7,610
7,682
7,707
7,766
7,890
7,908
7,995
7,1010
7,1109
7,1222
7,1259
7,1362
7,1395
7,1765
8,85
8,157
8,194
8,235
8,270
8,346
8,375
8,422
8,653
8,824
8,896
8,970
8,1073
8,1166
8,1402
8,1425
9,60
9,149
9,279
9,383
9,1060
9,1325
9,1404
10,46
10,723
10,1315
11,59
11,152
11,204
11,264
11,355
11,402
11,418
11,464
11,513
11,530
11,656
11,666
11,1062
11,1255
11,1410
11,1492
11,1539
11,1545
11,1554
11,1618
11,1753
12,105
12,151
12,196
12,223
12,263
12,308
12,327
12,344
12,405
12,411
12,446
12,462
12,520
12,687
12,707
12,894
12,921
12,1048
12,1086
12,1102
12,1103
12,1124
12,1222
12,1231
12,1256
12,1307
12,1310
12,1397
12,1825
13,72
13,85
13,115
13,180
13,195
13,221
13,387
13,518
13,847
13,887
13,945
13,953
13,1007
13,1109
13,1166
14,43
14,87
14,144
14,190
14,227
14,319
14,371
14,605
14,814
14,928
14,986
15,99
15,100
15,265
15,302
15,369
15,414
15,512
15,689
15,1046
15,1094
15,1107
15,1394
16,118
16,208
16,287
16,345
16,1374
16,1769
17,32
17,102
17,187
17,340
17,421
17,690
17,837
17,889
17,948
17,1365
17,1516
18,53
18,103
18,184
18,202
18,220
18,286
18,314
18,341
18,365
18,393
18,412
18,479
18,679
18,699
18,856
18,956
18,980
18,1008
18,1019
18,1042
18,1257
18,1371
18,1411
18,1756
19,117
19,128
19,193
19,354
19,399
19,520
19,766
19,1677
19,1780
20,125
20,206
20,232
20,376
20,438
20,691
20,989
20,1015
20,1098
20,1267
20,1320
20,1407
21,130
21,174
21,334
21,360
21,413
21,514
21,678
21,763
21,951
21,1003
21,1087
21,1290
21,1391
21,1760
21,1788
22,51
22,111
22,158
22,192
22,201
22,395
22,826
22,867
22,949
22,1021
22,1084
22,1361
23,124
23,348
23,397
23,667
23,845
24,50
24,62
24,104
24,112
24,322
24,325
24,607
24,846
24,886
