hid,date,state,lastTouched,type,date_ts,lastTouched_ts,session_year,dr_changed,dr_changed_ts,subject
1,2015-01-07,CA,"2017-01-10 04:15:48",Informational,1420588800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
15,2015-01-14,CA,"2017-01-10 04:15:48",Informational,1421193600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
20,2015-01-13,CA,"2017-01-10 04:15:48",Informational,1421107200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
21,2015-01-15,CA,"2017-01-10 04:15:48",Informational,1421280000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
22,2015-01-21,CA,"2017-01-10 04:15:48",Informational,1421798400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
23,2015-01-22,CA,"2017-01-10 04:15:48",Informational,1421884800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
25,2015-01-20,CA,"2017-01-10 04:15:48",Informational,1421712000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
29,2015-02-11,CA,"2017-01-10 04:15:48",Informational,1423612800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
30,2015-01-21,CA,"2017-01-10 04:15:48",Informational,1421798400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
31,2015-02-02,CA,"2017-01-10 04:15:48",Informational,1422835200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
32,2015-02-11,CA,"2017-01-10 04:15:48",Informational,1423612800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
33,2015-02-17,CA,"2017-01-10 04:15:48",Budget,1424131200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
35,2015-02-12,CA,"2017-01-10 04:15:48",Informational,1423699200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
36,2015-02-10,CA,"2017-01-10 04:15:48",Regular,1423526400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
37,2015-02-17,CA,"2017-01-10 04:15:48",Informational,1424131200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
38,2015-02-17,CA,"2017-01-10 04:15:48",Informational,1424131200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
39,2015-02-04,CA,"2017-01-10 04:15:48",Informational,1423008000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
40,2015-02-11,CA,"2017-01-10 04:15:48",Informational,1423612800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
41,2015-02-18,CA,"2017-01-10 04:15:48",Informational,1424217600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
42,2015-02-18,CA,"2017-01-10 04:15:48",Informational,1424217600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
43,2015-02-18,CA,"2017-01-10 04:15:48",Informational,1424217600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
44,2015-02-18,CA,"2017-01-10 04:15:48",Budget,1424217600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
45,2015-02-04,CA,"2017-01-10 04:15:48",Informational,1423008000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
46,2015-02-18,CA,"2017-01-10 04:15:48",Informational,1424217600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
48,2015-02-23,CA,"2017-01-10 04:15:48",Informational,1424649600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
49,2015-02-23,CA,"2017-01-10 04:15:48",Budget,1424649600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
50,2015-02-10,CA,"2017-01-10 04:15:48",Informational,1423526400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
51,2015-02-24,CA,"2017-01-10 04:15:48",Informational,1424736000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
