hid,date,state,type,session_year
1,2015-01-07,CA,Informational,2015
15,2015-01-14,CA,Informational,2015
20,2015-01-13,CA,Informational,2015
21,2015-01-15,CA,Informational,2015
22,2015-01-21,CA,Informational,2015
23,2015-01-22,CA,Informational,2015
25,2015-01-20,CA,Informational,2015
29,2015-02-11,CA,Informational,2015
30,2015-01-21,CA,Informational,2015
31,2015-02-02,CA,Informational,2015
32,2015-02-11,CA,Informational,2015
33,2015-02-17,CA,Budget,2015
35,2015-02-12,CA,Informational,2015
36,2015-02-10,CA,Regular,2015
37,2015-02-17,CA,Informational,2015
38,2015-02-17,CA,Informational,2015
39,2015-02-04,CA,Informational,2015
40,2015-02-11,CA,Informational,2015
41,2015-02-18,CA,Informational,2015
42,2015-02-18,CA,Informational,2015
43,2015-02-18,CA,Informational,2015
44,2015-02-18,CA,Budget,2015
45,2015-02-04,CA,Informational,2015
46,2015-02-18,CA,Informational,2015
48,2015-02-23,CA,Informational,2015
49,2015-02-23,CA,Budget,2015
50,2015-02-10,CA,Informational,2015
51,2015-02-24,CA,Informational,2015
52,2015-02-24,CA,Informational,2015
53,2015-02-24,CA,Informational,2015
54,2015-02-25,CA,Informational,2015
55,2015-02-26,CA,Informational,2015
56,2015-02-25,CA,Informational,2015
59,2015-02-25,CA,Informational,2015
60,2015-02-20,CA,Informational,2015
61,2015-03-02,CA,Budget,2015
62,2015-03-03,CA,Informational,2015
63,2015-03-03,CA,Budget,2015
65,2015-03-04,CA,Informational,2015
68,2015-03-04,CA,Informational,2015
69,2015-03-04,CA,Informational,2015
70,2015-03-04,CA,Budget,2015
71,2015-03-05,CA,Budget,2015
72,2015-03-03,CA,Regular,2015
73,2015-03-03,CA,Budget,2015
74,2015-03-04,CA,Informational,2015
75,2015-03-10,CA,Regular,2015
76,2015-03-10,CA,Regular,2015
77,2015-03-11,CA,Regular,2015
78,2015-03-11,CA,Informational,2015
79,2015-03-10,CA,Budget,2015
80,2015-03-10,CA,Budget,2015
81,2015-03-10,CA,Informational,2015
82,2015-03-10,CA,Informational,2015
83,2015-03-11,CA,Informational,2015
84,2015-03-11,CA,Budget,2015
85,2015-03-11,CA,Informational,2015
