pid,cid,year
1,464,2015
2,37,2015
2,42,2015
2,141,2015
2,143,2015
2,438,2015
2,441,2015
3,145,2015
3,433,2015
4,80,2015
4,87,2015
4,145,2015
4,436,2015
4,441,2015
5,38,2015
5,39,2015
5,41,2015
5,144,2015
7,144,2015
7,436,2015
8,145,2015
9,97,2015
9,144,2015
10,43,2015
10,440,2015
12,39,2015
12,438,2015
14,436,2015
15,97,2015
16,437,2015
17,145,2015
17,433,2015
18,40,2015
18,80,2015
19,37,2015
19,439,2015
20,87,2015
20,145,2015
21,43,2015
21,97,2015
21,439,2015
22,38,2015
22,143,2015
22,437,2015
22,441,2015
24,146,2015
25,40,2015
25,42,2015
25,70,2015
25,148,2015
26,70,2015
27,43,2015
27,97,2015
28,41,2015
29,40,2015
30,39,2015
30,42,2015
30,80,2015
30,143,2015
30,436,2015
30,437,2015
30,438,2015
30,439,2015
30,440,2015
30,441,2015
31,439,2015
31,40,2015
34,87,2015
34,97,2015
35,145,2015
36,41,2015
36,144,2015
36,439,2015
36,441,2015
38,80,2015
38,145,2015
39,144,2015
40,37,2015
40,144,2015
41,42,2015
41,141,2015
41,143,2015
41,440,2015
41,441,2015
42,40,2015
42,41,2015
43,439,2015
44,42,2015
44,97,2015
44,141,2015
44,143,2015
45,40,2015
45,80,2015
46,144,2015
47,80,2015
47,87,2015
47,97,2015
48,462,2015
49,42,2015
49,129,2015
51,148,2015
52,146,2015
52,460,2015
53,433,2015
54,146,2015
54,453,2015
54,460,2015
54,464,2015
55,146,2015
55,460,2015
57,67,2015
57,148,2015
57,433,2015
58,42,2015
58,460,2015
59,68,2015
59,460,2015
59,464,2015
60,42,2015
60,141,2015
60,148,2015
60,433,2015
61,129,2015
61,146,2015
61,453,2015
61,454,2015
61,462,2015
62,146,2015
63,146,2015
63,461,2015
64,42,2015
64,70,2015
64,148,2015
64,433,2015
64,465,2015
65,71,2015
65,463,2015
66,460,2015
66,462,2015
67,80,2015
68,42,2015
68,69,2015
68,141,2015
68,148,2015
68,433,2015
69,40,2015
69,43,2015
69,80,2015
69,440,2015
70,68,2015
70,146,2015
71,38,2015
71,144,2015
72,39,2015
72,40,2015
72,145,2015
72,41,2015
73,38,2015
73,80,2015
73,144,2015
74,41,2015
74,145,2015
76,40,2015
76,41,2015
76,145,2015
76,440,2015
76,441,2015
77,436,2015
78,40,2015
78,440,2015
79,40,2015
79,145,2015
80,143,2015
81,37,2015
82,144,2015
82,437,2015
83,42,2015
83,43,2015
83,437,2015
84,145,2015
85,42,2015
85,43,2015
85,87,2015
85,145,2015
85,433,2015
85,436,2015
86,37,2015
86,42,2015
86,80,2015
86,143,2015
86,436,2015
86,437,2015
86,438,2015
86,439,2015
86,440,2015
86,441,2015
87,42,2015
87,87,2015
87,143,2015
91,38,2015
91,97,2015
91,143,2015
91,438,2015
92,67,2015
92,146,2015
92,148,2015
92,463,2015
93,129,2015
93,146,2015
93,148,2015
94,42,2015
