pid,last,first,state
22,McCarty,Kevin,CA
121,Hall,Joan,CA
122,Damm,Richard,CA
123,Marcoccia,Dean,CA
124,Gelfat,Julie,CA
125,Hart,Alexandra,CA
126,Adler,Lee,CA
127,Wiegner,Melanie,CA
128,Krauss,William,CA
129,Perrin,Larry,CA
130,Meral,Gerald,CA
131,Spelliscy,Sandra,CA
132,Ewert,James,CA
133,Newton,Thomas,CA
134,Guillen,Rosalinda,CA
135,Guzman,Martha,CA
136,Renken,Theresa,CA
137,Gurian,Robert,CA
138,Bailey-Breed,Mary,CA
139,Schiavone,Ralph,CA
140,Read,Aaron,CA
141,Black,Robyn,CA
142,Perry,Randy,CA
143,Baker,Steve,CA
144,McHale,Terence,CA
145,Katten,Anne,CA
146,Schacht,Mark,CA
147,Stammerjohan,David,CA
148,Hawkins,David,CA
149,Larson,Judith,CA
150,Eddy,Shannon,CA
151,White,"V. John",CA
152,Ross,Richard,CA
153,Gasperoni,Lisa,CA
154,Anderson,Michael,CA
155,Jones,James,CA
156,Grellmann,Dietmar,CA
157,Norwood,John,CA
158,Cortes,Rosario,CA
159,Baker,Kevin,CA
160,Isenberg,Phillip,CA
161,O'Haren,Maureen,CA
162,Greene,Michael,CA
163,Hausey,Willie,CA
164,Hausey,Frond,CA
165,"Mc Caull",John,CA
166,Barnaby,William,CA
167,Ackerman,David,CA
168,Gladfelty,Paul,CA
169,Provenza,James,CA
170,Keeslar,Karen,CA
171,Hunter,John,CA
172,Falk,John,CA
173,Catzen,Margaret,CA
174,Foran,John,CA
175,Harris,Richard,CA
176,Thompson,Jo-Linda,CA
177,Walker,Christopher,CA
178,Powell,Robert,CA
179,Caldwell,Kaye,CA
180,Soares,Kristen,CA
181,"(Formerly Alonzo)",Lupe,CA
182,Morgan,Jamie,CA
183,Douglas,Steven,CA
184,Miller,Tami,CA
185,Wright,Marilyn,CA
186,Cvitanov,Katie,CA
187,Salazar-Hobson,Antonio,CA
188,Brown,Marc,CA
189,BrOwn,Donald,CA
190,Cole,Charles,CA
191,Heritage,Celeste,CA
192,Borg,Catherine,CA
193,Coye,Peter,CA
194,Fellmeth,Julianne,CA
196,"Mc Cullough",Donald,CA
197,Yaryan,Timothy,CA
198,Daum,Skip,CA
199,Palmer,Sally,CA
200,Price,Kenneth,CA
201,Lujan,Wesley,CA
202,Friedman-Johnson,Leslie,CA
203,Seitz,Donna,CA
204,Minnehan,Christine,CA
205,Geyer,William,CA
206,West,Jennifer,CA
207,Evans,Kurt,CA
208,Chiappetta,Douglas,CA
209,Hansen,Jay,CA
210,Abouhassan,Evelyn,CA
211,Knaus,Graham,CA
212,Wallauch,Steven,CA
213,Miethke,Eric,CA
214,Gross,James,CA
215,Naylor,Robert,CA
216,Leoni,Marguerite,CA
217,Erbin,Eugene,CA
218,Christian,Cathy,CA
219,Fernandes,Alan,CA
220,Gruttadauria,Jessie,CA
221,Upholt,Gerald,CA
223,Low,Dave,CA
224,Sookprasert,Jai,CA
226,Edgar,Sean,CA
227,Buttacavoli,Raymond,CA
228,Gonzalez,William,CA
