pid,first,last,middle,oid,name
127,Melanie,Wiegner,L.,45,"Ford Motor Company"
128,William,Krauss,E.,10,"California Association Of Harbor Masters And Port Captains"
128,William,Krauss,E.,16,"Marina Recreation Association"
128,William,Krauss,E.,1594,"National Marine Manufacturers Association"
128,William,Krauss,E.,1989,"California Yacht Brokers Association"
131,Sandra,Spelliscy,A.,24,"Planning And Conservation League"
132,James,Ewert,W.,25,"California Newspaper Publishers Association"
132,James,Ewert,W.,1212,"Cnpa Services Inc."
140,Aaron,Read,L.,37,"California Association Of Highway Patrolmen"
140,Aaron,Read,L.,39,"California Association Of Professional Scientists"
140,Aaron,Read,L.,384,"Professional Engineers In California Government"
140,Aaron,Read,L.,420,"Peace Officers Research Association Of California"
141,Robyn,Black,A.,339,"Thoroughbred Owners Of California"
141,Robyn,Black,A.,1228,"California Thoroughbred Breeders Association (Ctba)"
142,Randy,Perry,A.,37,"California Association Of Highway Patrolmen"
142,Randy,Perry,A.,420,"Peace Officers Research Association Of California"
142,Randy,Perry,A.,3109,"Read & Associates, Aaron"
142,Randy,Perry,A.,29068,"Reed & Associates"
142,Randy,Perry,A.,29102,"Aaron Read and Associates"
142,Randy,Perry,A.,29188,"California Cessation of Highway Patrol"
142,Randy,Perry,A.,29319,"California Association and Highway Patrol"
142,Randy,Perry,A.,29341,Port
142,Randy,Perry,A.,29726,BORAC
142,Randy,Perry,A.,29745,"California Association of Highway Patrol"
143,Steve,Baker,NULL,384,"Professional Engineers In California Government"
143,Steve,Baker,NULL,1041,"Upper San Gabriel Valley Municipal Water District"
143,Steve,Baker,NULL,3070,"Monterey Bay Aquarium"
143,Steve,Baker,NULL,3109,"Read & Associates, Aaron"
143,Steve,Baker,NULL,29102,"Aaron Read and Associates"
143,Steve,Baker,NULL,29607,"Parks Forward Commission"
144,Terence,McHale,NULL,147,"California Optometric Association"
144,Terence,McHale,NULL,431,"United Services Automobile Association (Usaa)"
144,Terence,McHale,NULL,3109,"Read & Associates, Aaron"
144,Terence,McHale,NULL,3910,"California Grand Casino"
144,Terence,McHale,NULL,29102,"Aaron Read and Associates"
146,Mark,Schacht,S.,44,"California Rural Legal Assistance Foundation, Inc."
149,Judith,Larson,NULL,3885,"Jericho: A Voice For Justice"
151,"V. John",White,NULL,47,"Clean Power Campaign"
152,Richard,Ross,NULL,26,"United Farm Workers Of America Afl-Cio"
157,John,Norwood,A.,61,"California Insurance Wholesalers Association (Ciwa)"
159,Kevin,Baker,NULL,492,"American Civil Liberties Union Foundation Of Southern California"
161,Maureen,O'Haren,NULL,695,"Irvine Ranch Water District"
161,Maureen,O'Haren,NULL,709,"Blue Shield Of California"
166,William,Barnaby,E.,1411,"California Medical Transportation Association, Inc."
167,David,Ackerman,G.,9,"Associated General Contractors Of California"
167,David,Ackerman,G.,2506,"Associated Builders And Contractors Of California"
168,Paul,Gladfelty,P.,9,"Associated General Contractors Of California"
168,Paul,Gladfelty,P.,5536,"Data Transparency Coalition"
168,Paul,Gladfelty,P.,29406,Travelers
173,Margaret,Catzen,NULL,1934,"Western Growers Association"
175,Richard,Harris,C.,29154,"Water Resuse Association"
190,Charles,Cole,L.,273,"Specialty Equipment Market Association"
192,Catherine,Borg,NULL,161,"Western Manufactured Housing Communities Association"
197,Timothy,Yaryan,H.B.,237,"California Correctional Supervisors Organization, Inc."
197,Timothy,Yaryan,H.B.,500,"California Chapter American College Of Emergency Physicians"
197,Timothy,Yaryan,H.B.,704,"Association For Los Angeles Deputy Sheriffs"
197,Timothy,Yaryan,H.B.,736,"Los Angeles Police Protective League"
197,Timothy,Yaryan,H.B.,738,"Riverside Sheriffs' Association"
197,Timothy,Yaryan,H.B.,746,"California Narcotic Officers' Association"
197,Timothy,Yaryan,H.B.,2286,"California Association Of Code Enforcement Officers"
197,Timothy,Yaryan,H.B.,4879,"California College And University Police Chiefs Association"
