mid,text,doPass,bid,cid,VoteDate,ayes,naes,abstain,result
147495,"Senate 3rd Reading SCR6 Monning",0,CA_201520160SCR6,452,"2015-02-09 15:01:00",33,0,4,(PASS)
147496,"Senate 3rd Reading SCR10 Huff",0,CA_201520160SCR10,452,"2015-02-09 15:07:00",33,0,4,(PASS)
147497,"Senate 3rd Reading SR11 Hall",0,CA_201520160SR11,452,"2015-02-09 14:45:00",35,0,2,(PASS)
147492,"Senate 3rd Reading SCR13 Jackson",0,CA_201520160SCR13,452,"2015-02-05 09:23:00",34,0,3,(PASS)
147494,"Senate 3rd Reading SCR5 Gaines",0,CA_201520160SCR5,452,"2015-02-09 14:18:00",34,0,3,(PASS)
147498,"Senate 3rd Reading SJR2 Vidak",0,CA_201520160SJR2,452,"2015-02-13 09:26:00",31,0,6,(PASS)
147499,"SCR 4 Pan Consent Calendar Second Day",0,CA_201520160SCR4,435,"2015-02-13 09:15:16",70,0,10,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160ACR19,26,"2015-02-17 00:00:00",11,0,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160ACR20,26,"2015-02-17 00:00:00",11,0,0,(PASS)
147493,"Be adopted. To Consent Calendar.",0,CA_201520160SCR9,26,"2015-02-17 00:00:00",11,0,0,(PASS)
147502,"Senate 3rd Reading SCR17 Block",0,CA_201520160SCR17,452,"2015-02-19 09:38:00",35,0,2,(PASS)
109503,"From committee:  Be adopted.  To third reading.",0,CA_201520160ACR5,26,"2015-01-12 00:00:00",11,0,0,(PASS)
147503,"SCR 9 Fuller Consent Calendar Second Day",0,CA_201520160SCR9,435,"2015-02-19 09:35:43",73,0,7,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160ACR23,26,"2015-02-23 00:00:00",11,0,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160HR6,26,"2015-02-23 00:00:00",11,0,0,(PASS)
109503,"From committee:  Be adopted.  To third reading.",0,CA_201520160ACR3,26,"2015-01-08 00:00:00",10,0,1,(PASS)
147483,"Senate 3rd Reading SR8 De León",0,CA_201520160SR8,452,"2015-01-16 09:26:00",31,0,6,(PASS)
147484,"Senate 3rd Reading SCR3 Mendoza",0,CA_201520160SCR3,452,"2015-01-16 09:27:00",31,0,6,(PASS)
147485,"Senate 3rd Reading SCR4 Pan",0,CA_201520160SCR4,452,"2015-01-16 09:28:00",31,0,6,(PASS)
147486,"Senate 3rd Reading SR9 Mitchell",0,CA_201520160SR9,452,"2015-01-16 09:58:00",30,0,7,(PASS)
147489,"Senate 3rd Reading SR7 Lara",0,CA_201520160SR7,452,"2015-02-02 14:46:00",37,0,0,(PASS)
147490,"Senate 3rd Reading SCR9 Fuller",0,CA_201520160SCR9,452,"2015-02-02 14:29:00",36,0,1,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160ACR6,26,"2015-02-02 00:00:00",11,0,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160ACR12,26,"2015-02-02 00:00:00",11,0,0,(PASS)
147493,"Be adopted. To Consent Calendar.",0,CA_201520160SCR10,26,"2015-02-23 00:00:00",11,0,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160SCR17,26,"2015-02-23 00:00:00",11,0,0,(PASS)
147504,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",1,CA_201520160SB35,54,"2015-02-25 00:00:00",6,0,0,(PASS)
147505,"Senate 3rd Reading SR12 Cannella",0,CA_201520160SR12,452,"2015-02-26 09:35:00",36,0,1,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160ACR2,26,"2015-03-02 00:00:00",10,0,0,(PASS)
147506,"Senate 3rd Reading SCR16 Block",0,CA_201520160SCR16,452,"2015-03-02 12:21:00",32,0,5,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB147,13,"2015-03-03 00:00:00",11,1,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB174,13,"2015-03-03 00:00:00",12,1,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160ACR17,26,"2015-03-05 00:00:00",11,0,0,(PASS)
147508,"Do pass as amended and be re-referred to the Committee on [Veterans Affairs]",1,CA_201520160AB13,13,"2015-03-03 00:00:00",13,0,0,(PASS)
147508,"Do pass as amended and be re-referred to the Committee on [Veterans Affairs]",1,CA_201520160AB27,13,"2015-03-03 00:00:00",13,0,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160HR8,26,"2015-03-05 00:00:00",11,0,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160HR10,26,"2015-03-05 00:00:00",11,0,0,(PASS)
147511,"Senate 3rd Reading SCR19 Nguyen",0,CA_201520160SCR19,452,"2015-03-05 09:20:00",36,0,1,(PASS)
147512,"Assembly 3rd Reading ACR19 Low By Pan",0,CA_201520160ACR19,452,"2015-03-05 09:24:00",37,0,0,(PASS)
147513,"SCR 10 Huff Consent Calendar Second Day",0,CA_201520160SCR10,435,"2015-03-05 09:10:10",78,0,2,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160ACR25,26,"2015-03-09 00:00:00",11,0,0,(PASS)
147478,"W/O REF. TO FILE SCR1 Huff",0,CA_201520160SCR1,452,"2014-12-01 12:48:00",38,0,1,(PASS)
147479,"HR 1 GORDON Assembly Third Reading",0,CA_201520160HR1,435,"2014-12-01 12:59:14",52,28,0,(PASS)
147480,"HR 2 ATKINS Assembly Third Reading",0,CA_201520160HR2,435,"2014-12-01 13:00:47",80,0,0,(PASS)
147481,"SCR 1 Huff Senate Third Reading",0,CA_201520160SCR1,435,"2014-12-01 13:06:09",80,0,0,(PASS)
