oid,name,hid
439,"Association Of Regional Center Agencies",1
3723,"California Teachers Association",15
1221,"California Waterfowl Association",20
3744,"California Teamsters Public Affairs Council",29
3252,"California Association For Bilingual Education",30
3460,"Arc Of California; The",33
1333,"Sierra Club",36
44,"California Rural Legal Assistance Foundation, Inc.",36
5481,"Privacy Rights Clearinghouse",37
3076,"Autism Speaks",39
439,"Association Of Regional Center Agencies",39
3460,"Arc Of California; The",39
3604,"Environmental Working Group",40
1692,"California Independent Petroleum Association (Cipa)",40
925,"California Society Of Pathologists",41
187,"Western Center On Law And Poverty Inc.",43
905,"California Building Industry Association",43
3744,"California Teamsters Public Affairs Council",44
1255,"Health Access Foundation",45
131,"County Welfare Directors Association Of California (Cwda)",49
1140,"Children'S Specialty Care Coalition",49
3784,"Center For Autism And Related Disorders (Card); The",49
1797,"Planned Parenthood Affiliates Of California",49
585,"California Dental Assistants Association",49
1333,"Sierra Club",52
4659,"Gualco Group, The",54
319,"California Professional Firefighters",54
1085,"California Manufacturers And Technology Association",54
449,"American Federation Of State County And Municipal Employees Afl-Cio",54
1014,"Los Angeles Unified School District",55
3723,"California Teachers Association",55
1705,"California March Of Dimes Birth Defects Foundation",61
1652,"Gilead Sciences, Inc.",61
611,"California Society Of Industrial Medicine And Surgery",65
1066,"California Correctional Peace Officers Association",65
214,"State Building & Construction Trades Council Of California",65
1073,"Friends Committee On Legislation Of California",69
507,"Association Of Independent California Colleges & Universities (Aiccu)",72
2513,"Mccallum Group, Inc.",72
319,"California Professional Firefighters",73
2635,"Faculty Association Of California Community Colleges",73
170,"Regional Council Of Rural Counties (Rcrc) And Its Joint Powers Authorities",75
3070,"Monterey Bay Aquarium",76
998,"California Association Of Zoos And Aquariums",76
3497,"Humane Society Of The United States, The",76
132,"Housing California",79
449,"American Federation Of State County And Municipal Employees Afl-Cio",79
4128,"School Energy Coalition",80
940,"California Charter Schools Association",80
922,"California Alliance Of Child And Family Services",80
451,"Association Of California School Administrators",80
2582,"California State Association Of Electrical Workers",83
236,"Jewish Public Affairs Committee Of California",86
1788,"National Association Of Social Workers, California Chapter",86
940,"California Charter Schools Association",88
2185,"Riverside County Office Of Education",88
2186,"Riverside County Schools Advocacy Association",88
4995,"Campbell Union School District",88
1538,"California Association Of Local Conservation Corps",91
439,"Association Of Regional Center Agencies",92
439,"Association Of Regional Center Agencies",92
