oid,name,city,stateHeadquartered
1,"The Messersmith Group",NULL,NULL
2,"Milberg Weiss Bershad Hynes & Lerach",NULL,NULL
4,"International Brotherhood Of Electrical Workers (Ibew) Local 569",NULL,NULL
6,"Sankyo Pharma",NULL,NULL
7,"American College Of Obstetricians And Gynecologists District Ix The",NULL,NULL
8,"California State Association Of Counties",NULL,NULL
9,"Associated General Contractors Of California",NULL,NULL
10,"California Association Of Harbor Masters And Port Captains",NULL,NULL
11,"California Marine Affairs And Navigation Conference",NULL,NULL
12,"Central California Chamber Alliance",NULL,NULL
13,"California Mining Association",NULL,NULL
14,"California Marine Parks And Harbors Association",NULL,NULL
15,"Lennox International Inc.",NULL,NULL
16,"Marina Recreation Association",NULL,NULL
17,"Nissan North America",NULL,NULL
18,"The First American Corporation",NULL,NULL
19,"Ncma Inc.",NULL,NULL
20,"Turlock Irrigation District",NULL,NULL
21,"Ust Public Affairs Inc.",NULL,NULL
22,"Western Boaters Safety Group",NULL,NULL
23,"Western Marine Association Inc.",NULL,NULL
24,"Planning And Conservation League",NULL,NULL
25,"California Newspaper Publishers Association",NULL,NULL
26,"United Farm Workers Of America Afl-Cio",NULL,NULL
27,"American Cancer Society California Division Inc.",NULL,NULL
28,"California Faculty Association",NULL,NULL
29,"Union Of American Physicians And Dentists",NULL,NULL
30,"Casino Morongo Of The Morongo Band Of Mission Indians",NULL,NULL
31,Pharmacia,NULL,NULL
32,"California Children'S Lobby The",NULL,NULL
33,3M,NULL,NULL
34,"Allen Group, The",NULL,NULL
35,"3M Traffic Control Materials Division",NULL,NULL
36,"Apple Valley, Town Of",NULL,NULL
37,"California Association Of Highway Patrolmen",NULL,NULL
38,"California Association Of Competitive Telecommunication Companies (Caltel)",NULL,NULL
39,"California Association Of Professional Scientists",NULL,NULL
40,"California Athletic Trainers Association",NULL,NULL
41,"Cdf Firefighters",NULL,NULL
42,"California Self Insurers' Security Fund",NULL,NULL
43,"American International Group Inc. And Its Subsidiaries",NULL,NULL
44,"California Rural Legal Assistance Foundation, Inc.",NULL,NULL
45,"Ford Motor Company",NULL,NULL
46,"Waste Management, Inc. & Affiliated Entities",NULL,NULL
47,"Clean Power Campaign",NULL,NULL
48,"Barona Band Of Mission Indians",NULL,NULL
49,"Council Of Uc Faculty Associations",NULL,NULL
50,"California Healthcare Association And Affiliated Entities",NULL,NULL
51,"S.C. Johnson & Son",NULL,NULL
52,Trw,NULL,NULL
53,"Pharmaceutical Research And Manufacturers Of America",NULL,NULL
54,Qwest,NULL,NULL
55,"California Association Of Small Employer Health Plans",NULL,NULL
56,"Insurance Brokers And Agents Of The West",NULL,NULL
57,"Liberty Mutual Group",NULL,NULL
58,"International Franchise Association (Ifa)",NULL,NULL
59,"Insurance Services Office, Inc.",NULL,NULL
60,"Insurance Agents And Brokers Legislative Council",NULL,NULL
61,"California Insurance Wholesalers Association (Ciwa)",NULL,NULL
62,"Driving School Association Of California Inc.",NULL,NULL
63,"American Heart Association",NULL,NULL
64,"Government Affairs Consulting",NULL,NULL
65,"California Squid Fishermen's Association",NULL,NULL
66,"California Nurses Association",NULL,NULL
67,"Protection And Advocacy Inc",NULL,NULL
68,"Alliance Of Automobile Manufacturers Inc.",NULL,NULL
69,"Automated Power Exchange",NULL,NULL
70,"Fpl Energy Inc.",NULL,NULL
71,"Kaiser Foundation Health Plan Inc.",NULL,NULL
73,"Pacific Gas & Electric Company",NULL,NULL
74,"Runyon Saltzman & Einhorn Inc.",NULL,NULL
75,"Stocker Resources LP A Limited Partnership By Stocker Resources Inc. General Partner",NULL,NULL
76,"Word & Brown",NULL,NULL
77,"Hotel Employees And Restaurant Employees International Union (Hereiu)",NULL,NULL
78,"Shapell Industries Inc.",NULL,NULL
79,"Viejas Band Of Kumeyaay Mission Indians",NULL,NULL
80,"Long-Term Care Pharmacy Alliance",NULL,NULL
82,"California Dvbe Alliance",NULL,NULL
83,"National Audubon Society",NULL,NULL
84,"Japan Government Of",NULL,NULL
85,"City Of Chula Vista",NULL,NULL
86,"Compline LLC",NULL,NULL
87,"Associated General Contractors-San Diego Chapter",NULL,NULL
88,"California Business Roundtable",NULL,NULL
89,"California Chamber Of Commerce",NULL,NULL
90,"Tejon Ranchcorp",NULL,NULL
91,"Ttx Company",NULL,NULL
92,"California Operators Association",NULL,NULL
93,"California Surety Federation",NULL,NULL
94,"Caterpillar Inc.",NULL,NULL
95,"Check Into Cash Inc.",NULL,NULL
96,"Check'N'Go Of California Inc.",NULL,NULL
97,Experian,NULL,NULL
98,Pactiv,NULL,NULL
99,"California State Council Of Service Employees E00789",NULL,NULL
100,"Vernon Property Association",NULL,NULL
101,"Cabazon Band Of Mission Indians",NULL,NULL
102,"City Of Pittsburg",NULL,NULL
103,"New York Mercantile Exchange",NULL,NULL
104,"Alliance Of Catholic Health Care Inc.",NULL,NULL
105,"Los Angeles County / District Attorney'S Office",NULL,NULL
106,"Association Of California Urban School Districts",NULL,NULL
107,"California Independent Public Employees Legislative Council Inc.",NULL,NULL
108,"Tahoe Sierra Board Of Realtorsinc.",NULL,NULL
109,"Alameda Corridor Transportation Authority",NULL,NULL
110,"County Health Executives Association Of California",NULL,NULL
111,"California Health Information Association",NULL,NULL
112,"California Employment Law Council",NULL,NULL
113,"Capitol Communications",NULL,NULL
114,"Berkeley Property Owners Association",NULL,NULL
115,"Santa Barbara Rental Property Association",NULL,NULL
116,"Computer Software Industry Association",NULL,NULL
117,"Internet Alliance",NULL,NULL
118,"California Children'S Hospital Association",NULL,NULL
119,"I-5 Consortium Cities Joint Powers Authority",NULL,NULL
120,"City Of Vallejo",NULL,NULL
121,"San Bernardino Associated Governments",NULL,NULL
122,"University Of Southern California The",NULL,NULL
123,"Town Of Colma",NULL,NULL
124,"City Of Burlingame",NULL,NULL
125,"Bay Area Addiction Research & Treatment, Inc./California Detoxification Programs, Inc.",NULL,NULL
126,"Clean Beaches Coalition",NULL,NULL
127,"California Dental Hygienists Association",NULL,NULL
128,"California Funeral Directors Association",NULL,NULL
129,"Hearst Corporation",NULL,NULL
130,"California School Nurses Organization",NULL,NULL
131,"County Welfare Directors Association Of California (Cwda)",NULL,NULL
132,"Housing California",NULL,NULL
133,"Test U",NULL,NULL
134,"California Continuing Care Residents Association",NULL,NULL
136,"The Enterprise Foundation",NULL,NULL
137,Youthbuild,NULL,NULL
138,"Association Of California Car Clubs",NULL,NULL
139,"California Automatic Vendors Council",NULL,NULL
140,"California Drug And Alcohol Testing Alliance",NULL,NULL
141,"California Dump Truck Owners Association",NULL,NULL
142,"California Financial Service Providers",NULL,NULL
143,"California Moving And Storage Association",NULL,NULL
144,"Carroll Shelby Enterprises Inc.",NULL,NULL
145,"Chg Safety Technologies",NULL,NULL
146,"Cities Of Contra Costa County",NULL,NULL
147,"California Optometric Association",NULL,NULL
