pid,uid
102,1
102,5
102,13
102,17
102,21
102,23
102,27
102,33
102,37
102,43
102,49
102,55
63,59
63,63
63,73
102,79
2981,85
2981,93
2981,101
2981,109
2981,115
2981,121
2981,127
2981,135
2981,141
2981,145
2981,155
2981,161
2981,169
102,177
102,187
2981,189
2981,199
2981,207
2981,215
2981,221
2981,237
2981,241
2981,251
102,265
102,271
102,283
102,291
102,303
102,309
102,315
2981,323
2981,333
2981,343
2981,347
2981,355
2981,361
2981,365
2981,375
2981,385
2981,391
2981,399
102,403
102,411
61,415
102,423
62,425
62,429
2981,437
2981,445
2981,451
2981,461
2981,465
62,473
102,475
49,477
49,489
49,495
49,505
49,511
49,519
102,525
102,533
102,543
102,549
2981,555
2981,563
2981,569
2981,581
2981,587
2981,593
2981,597
102,605
102,609
2981,611
102,619
913,625
913,633
913,637
913,647
102,649
102,659
102,669
102,671
2995,677
102,679
2995,681
2995,683
2995,691
2995,695
2995,701
2995,707
2995,727
102,745
102,755
2995,757
2995,763
2995,769
2995,785
2995,789
2995,801
2995,807
2995,815
102,825
2995,831
102,837
2995,839
102,845
2995,855
2995,865
102,873
102,889
102,897
102,903
102,911
102,917
102,921
102,927
2995,929
2995,935
2995,943
2995,951
2995,957
2995,965
2995,977
102,983
61,989
61,993
102,1007
62,1009
49,1015
2995,1031
2995,1041
102,1051
3017,1057
3017,1061
102,1067
102,1071
102,1083
102,1087
102,1095
3018,1099
3018,1107
102,1109
3018,1115
3018,1121
3018,1131
3018,1139
102,1145
62,1149
3018,1167
62,1173
62,1185
102,1191
49,1193
49,1201
49,1207
49,1213
102,1223
102,1227
3018,1237
3018,1243
3018,1249
3018,1261
3018,1269
3018,1279
1116,1295
1116,1299
1116,1305
1116,1313
1116,1319
1116,1327
1116,1339
1116,1347
1116,1367
1116,1369
1116,1371
1116,1375
1116,1381
1116,1387
1116,1397
1625,1405
1625,1409
1625,1417
1625,1419
1056,1429
1056,1437
102,1441
102,1445
102,1449
102,1457
3018,1461
102,1463
102,1469
3001,1485
102,1487
3002,1491
3002,1493
3002,1497
102,1503
102,1511
3001,1515
102,1517
3001,1519
102,1521
102,1525
61,1527
61,1531
61,1533
61,1543
102,1575
102,1583
49,1585
49,1589
3002,1597
3002,1611
49,1625
3001,1631
3001,1653
3001,1669
3001,1671
3002,1675
3002,1683
3001,1709
3001,1745
49,1751
102,1753
102,1775
3001,1799
3001,1811
3001,1827
3001,1851
3002,1855
3002,1867
3002,1887
3002,1899
