uid,vid
1,1
5,1
13,1
17,1
21,1
23,1
27,1
33,1
37,1
39,1
43,1
49,1
55,1
59,1
63,1
73,1
79,1
85,1
93,1
101,1
109,1
115,1
121,1
127,1
135,1
141,1
145,1
155,1
161,1
169,1
177,1
187,1
189,1
199,1
207,1
215,1
221,1
237,1
241,1
251,1
265,1
271,1
283,1
291,1
303,1
309,1
315,1
323,1
333,1
343,1
347,1
355,1
361,1
365,1
375,1
385,1
391,1
399,1
403,1
411,1
415,1
423,1
425,1
429,1
437,1
445,1
451,1
461,1
465,1
473,1
475,1
477,1
489,1
495,1
505,1
511,1
519,1
525,1
533,1
543,1
549,1
555,1
563,1
569,1
581,1
587,1
593,1
597,1
605,1
609,1
611,1
619,1
625,1
633,1
637,1
647,1
649,1
659,1
667,1
669,1
671,2
677,2
679,2
681,2
683,2
691,2
695,2
701,2
707,2
727,2
745,2
755,2
757,2
763,2
769,2
785,2
789,2
801,2
807,2
815,2
825,2
831,2
837,2
839,2
845,2
855,2
865,2
873,2
889,2
897,2
903,2
911,2
917,2
921,2
927,2
929,2
935,2
943,2
951,2
957,2
965,2
977,2
983,2
989,2
993,2
1007,2
1009,2
1015,2
1031,2
1041,2
1051,2
1057,2
1061,2
1067,2
1071,2
1077,2
1083,2
1087,2
1095,2
1099,2
1107,2
1109,2
1115,2
1121,2
1131,2
1139,2
1145,2
1149,2
1167,2
1173,2
1185,2
1191,2
1193,2
1201,2
1207,2
1213,2
1223,2
1227,2
1237,2
1243,2
1249,2
1261,2
1269,2
1279,2
1295,2
1299,2
1305,2
1313,2
1319,2
1327,2
1339,2
1347,2
1367,2
1369,2
1371,2
1375,2
1381,2
1387,2
1397,2
1405,2
1409,2
1417,2
1419,2
1429,2
1437,2
1441,2
1445,2
1449,2
1457,2
1461,2
1463,2
1469,3
1485,3
1487,3
1491,3
1493,3
1497,3
1503,3
1511,3
1515,3
1517,3
1519,3
1521,3
1525,3
1527,3
1531,3
1533,3
1543,3
1575,3
1583,3
1585,3
1589,3
1597,3
1611,3
1625,3
1631,3
1653,3
1669,3
1671,3
1675,3
1683,3
1709,3
1745,3
1751,3
1753,3
1775,3
1799,3
1811,3
1827,3
1851,3
1855,3
1867,3
1887,3
1899,3
1925,3
1937,3
1961,3
1969,3
1985,3
1991,3
2001,3
2003,3
2011,3
2035,3
2039,3
2047,3
2059,3
2081,3
2105,3
2113,3
2115,3
2127,3
2137,3
2169,3
2181,3
2189,3
2197,3
2199,3
2205,3
2215,3
2219,3
2221,3
2233,3
2243,3
2247,3
2251,3
2255,3
2257,3
2263,3
2267,3
2273,3
2277,3
2289,3
2291,3
2293,3
2297,3
2311,3
2313,3
2315,3
2327,3
2331,3
2345,3
2351,3
2353,3
2359,3
2361,3
2371,1
6812,12
6818,12
6838,12
6890,12
6892,12
6900,12
6906,12
6908,12
6930,12
6952,12
6990,12
7006,12
7042,12
7048,12
7052,12
7078,12
7088,12
7096,12
7106,12
7108,12
7114,12
7118,12
7160,12
7172,12
7194,12
7196,12
7222,12
7236,12
7238,12
7248,12
7250,12
7280,12
7282,12
7288,12
7294,12
7326,12
7334,12
7338,12
7342,12
7356,12
7368,12
7372,12
7394,12
7398,12
7400,12
7436,12
7444,12
7466,12
7468,12
7472,12
7474,12
7476,12
7480,12
7487,12
7488,12
7489,12
7499,12
7501,12
7502,12
7503,13
7507,13
7513,13
7519,13
7523,13
7531,13
7537,13
7539,13
7547,13
7553,13
7559,13
7565,13
7571,13
7577,13
7581,13
7589,13
7595,13
7605,13
7609,13
7611,13
7617,13
7621,13
7627,13
7635,13
7639,13
7645,13
7649,13
7657,13
7661,13
7669,13
7673,13
7677,13
7685,13
7693,13
7695,13
7697,13
7705,13
7713,13
7723,13
7731,13
7743,13
7749,13
7757,13
7769,13
7775,13
7785,13
7793,13
7801,13
7809,13
7815,13
7821,13
7831,13
7837,13
7845,13
7851,13
7861,13
7871,13
7881,13
7889,13
7895,13
7905,13
7911,13
7923,13
7931,13
7939,13
7951,13
7959,13
7967,13
7979,13
7987,13
7999,13
8005,13
8017,13
8029,13
8037,13
8045,13
8051,13
8061,13
8073,13
8077,13
8087,13
8097,13
8105,13
8115,13
8125,13
8131,14
8133,14
8149,14
8167,14
8179,14
8185,14
8199,14
8209,14
8229,14
8239,14
8241,14
8243,14
8259,14
8263,14
8265,14
8277,14
8287,14
8293,14
8307,14
8315,14
8321,14
8337,14
8355,14
8375,14
8401,14
8419,14
8431,14
8441,14
8453,14
8469,14
8487,14
8499,14
8515,14
8527,14
8541,14
8555,14
8563,14
8577,14
8591,14
8607,14
8609,14
8625,14
8643,14
8659,14
8667,14
8685,14
8699,14
8719,14
8733,14
8747,14
8749,14
8769,14
8783,14
8791,14
8809,14
8823,14
8839,14
8865,14
8879,14
8887,14
8889,14
8897,14
8913,14
8929,14
