uid,text,time,endTime,type,alignment,state
1,"We meet here today. This is our first Rules Committee of the year 2015. It is today Wednesday, June the 7th 2015. So this will be our first Rules Committee.",550,560,Discussion,Indeterminate,CA
5,"First and foremost I want to welcome two of the newest members of the Rules Committee. To my right literally as well figuratively. You know, on the  political spectrum. I want to welcome Senator Anthony Cannella.",560,579,Discussion,Indeterminate,CA
13,"Welcome to the Rules Committee. To my left I want to welcome, you know, Senator Connie Leyva.",579,584,Discussion,Indeterminate,CA
17,"You know, welcome too. And I want to welcome my very good friend of my very good colleague since our days on State Allocation Board back in our days in the Assembly,",585,593,Discussion,Indeterminate,CA
21,"the Vice Chair of the Rules Committee and that is Senator Jean Fuller.",593,598,Discussion,Indeterminate,CA
23,"So welcome again. Welcome. I want to welcome also to the staff and our new Secretary of the Senate, Daniel Alvarez to his first committee hearing today on the Rules Committee.",598,613,Discussion,Indeterminate,CA
27,"To all the staff members again, welcome. And, to the guests that are here today, I want to welcome each and every one of you. I want to welcome also to our esteemed Senator, the Chair of the Education Committee of the Senate, Senator Carol Liu.",613,627,Discussion,Indeterminate,CA
33,"And before bringing up our, let's see, Madam Senator, we have a handful of folks here today. We have",627,637,Discussion,Indeterminate,CA
37,"Governor's appointees which we'll start with today.  But before we do that Madam Secretary, let's call the roll to establish a quorum.",637,646,Discussion,Indeterminate,CA
39,"Senators Canella. Here. Canella here. Leyva. Leyva here. Mitchell. Fuller. Here. Fuller here. de Leon. Here. de Leon here.",646,652,Discussion,Indeterminate,CA
43,"Okay, we have established a quorum. We have today before us governors appointees.  We have Mr. Geoffrey Baum. We have Davoods Ghods. We have John Doyle, Susan Husari, and Richard Wade.",652,669,Discussion,Indeterminate,CA
49,"We are going to start with Mr. Geoffrey Baum for the Community vollege Board of Governors.  If you could be so kind enough as to please approach the microphone.",669,680,Discussion,Indeterminate,CA
55,"I think we're going to have, Mr. Baum, we're going to have Senator Liu make a brief introduction and Senator Liu, please.",680,689,Discussion,Indeterminate,CA
59,"Thank you very much. Good afternoon members and happy New Year. This is a great occasion and I'm pleased to introduce Geoff Baum nominee for re-appointment as a member of the Community College Board of Governors.",689,702,Discussion,Indeterminate,CA
